All_num_layers,Classifier_hidden,Classifier_num_layers,GPR,HCHA_symdegnorm,HNHN_alpha,HNHN_beta,HNHN_nonlinear_inbetween,HyperGCN_fast,HyperGCN_mediators,LearnMask,MLP_hidden,MLP_num_layers,PMA,T,UniGNN_degE,UniGNN_degV,UniGNN_use_norm,acc_drop%,add_self_loop,adv_test,adv_train,adv_val,aggregate,alpha,attack,beta,clean_test,clean_train,clean_val,cuda,dataset,deepset_input_norm,deg_shift_l1,deg_shift_l2,deg_shift_linf,display_step,dname,dropout,edge_card_shift_l1,edge_card_shift_l2,edge_card_shift_linf,embedding_shift,epochs,epsilon,eta_H,eta_X,exclude_self,exec_time,feature_noise,gamma,h_l0,heads,laplacian_norm,lr,method,model,normalization,normtype,num_classes,num_edges,num_edges_perturbed,num_epochs_sur,num_features,num_to_perturb,num_vertices,output_heads,patience,perturb_prop,perturb_type,ptb_rate,runs,seed,semantic_change,train_prop,valid_prop,wd,x_linf
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,2.1052631578947403,True,0.7555391432791728,0.9719350073855244,0.7518463810930577,mean,10.0,mla,0.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,748.0,482.3650207519531,482.0,-1,cora,0.5,752.0,30.789608001708984,3.0,77.47755432128906,1000,0.0,0.01,0.01,False,86.77260327339172,0.0,2.0,754,1,4.480926990509033,0.001,HGNN,HGNN,ln,all_one,7,7494,754.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,2.2966507177033515,True,0.7540620384047267,0.9719350073855244,0.7488921713441655,mean,4.0,mla,0.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,748.0,486.3558349609375,486.0,-1,cora,0.5,752.0,30.8544979095459,3.0,77.86549377441406,1000,0.0,0.01,0.01,False,86.40889573097229,0.0,2.0,754,1,4.47812557220459,0.001,HGNN,HGNN,ln,all_one,7,7494,754.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.479690522243716,True,0.7141802067946824,0.9748892171344166,0.7607090103397341,mean,0.01,mla,0.01,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,954.0,186.27935791015625,183.0,-1,cora,0.5,962.0,38.41874694824219,5.0,151.47821044921875,1000,0.0,0.01,0.01,False,86.56755709648132,0.0,2.0,962,1,6.39920711517334,0.001,HGNN,HGNN,ln,all_one,7,7494,962.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,5.996131528046419,True,0.7178729689807977,0.9689807976366323,0.7592319054652881,mean,0.01,mla,0.1,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,823.0,53.26349639892578,40.0,-1,cora,0.5,831.0,35.028560638427734,5.0,147.42880249023438,1000,0.0,0.01,0.01,False,85.6539716720581,0.0,2.0,831,1,6.357337951660156,0.001,HGNN,HGNN,ln,all_one,7,7494,831.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,9.284332688588002,True,0.6927621861152142,0.9675036927621862,0.7311669128508125,mean,0.01,mla,2.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,940.0,337.60333251953125,336.0,-1,cora,0.5,944.0,44.58699417114258,9.0,174.8441925048828,1000,0.0,0.01,0.01,False,83.53309607505798,0.0,2.0,956,1,7.131695747375488,0.001,HGNN,HGNN,ln,all_one,7,7494,956.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,7.736943907156661,True,0.704579025110783,0.9719350073855244,0.7503692762186116,mean,0.01,mla,1.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,1199.0,404.59979248046875,403.0,-1,cora,0.5,1197.0,44.35087203979492,5.0,180.51107788085938,1000,0.0,0.01,0.01,False,83.49620079994202,0.0,2.0,1205,1,7.141519546508789,0.001,HGNN,HGNN,ln,all_one,7,7494,1205.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.160541586073495,True,0.7548005908419498,0.9822747415066471,0.7902511078286559,mean,0.01,mla,4.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,803.0,634.1427001953125,634.0,-1,cora,0.5,691.0,26.77685546875,3.0,78.82727813720703,1000,0.0,0.01,0.01,False,83.55815601348877,0.0,2.0,811,1,4.037914276123047,0.001,HGNN,HGNN,ln,all_one,7,7494,811.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,0.676982591876198,True,0.7584933530280651,0.980797636632201,0.7976366322008863,mean,0.01,mla,10.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,768.0,682.0674438476562,682.0,-1,cora,0.5,706.0,26.60826873779297,2.0,75.2724380493164,1000,0.0,0.01,0.01,False,83.51264572143555,0.0,2.0,768,1,3.328941822052002,0.001,HGNN,HGNN,ln,all_one,7,7494,768.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.985645933014354,True,0.7178729689807977,0.9615952732644019,0.7149187592319055,mean,0.01,mla,0.1,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,822.0,53.10367202758789,40.0,-1,cora,0.5,828.0,34.871192932128906,4.0,128.53712463378906,1000,0.0,0.01,0.01,False,87.13137984275818,0.0,2.0,830,1,6.337357044219971,0.001,HGNN,HGNN,ln,all_one,7,7494,830.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.985645933014354,True,0.7178729689807977,0.9630723781388479,0.7178729689807977,mean,0.01,mla,0.01,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,948.0,173.57418823242188,170.0,-1,cora,0.5,948.0,38.0,4.0,130.7032470703125,1000,0.0,0.01,0.01,False,87.02879571914673,0.0,2.0,950,1,6.379025936126709,0.001,HGNN,HGNN,ln,all_one,7,7494,950.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
